,text,created_at,retweets,replies,likes,quote_count,place_id,author_id,username,author_followers,author_tweets,author_description,author_location
0,参加お願い🔑✨ https://t.co/TpXawD0B7O,2022-10-01_00:59:58,0,0,0,0,,4074077300,ct525787,1404,87123,よろしくお願いします😌 🤍🕊 ✨🐩🐾#THEプレゼントマン #かふ便🚢,
1,@Xing98183279 それも良いけどロリデ行こうよ🏰👗🤴👸,2022-10-01_00:59:57,0,1,0,0,,4843678447,kanako_tv,212,14557,写真は本人♂ですがPs先生に大手術💉して貰ってます😱ATELIERPIERROTと和ロリはmetamorphose、後はmaxicimam多めかな？家族非公認の為中々ロリ活出来ず、、写真は趣味と実益がごっちゃになってます📸メッチャ可愛いアイコンは→@zgmf_x20a_sf に頂きました！,ディズニーランド近辺
2,八幡浜へ・・・ https://t.co/iJeezVFbg1,2022-10-01_00:59:56,0,0,2,0,,1562432050841665539,038GhostRabbit,148,4310,ごちうさ沼に頭から転落した車好き。普段テキトーにツイートしているけど、出来るだけお出かけスポットの写真を出していきたいと思ってる。ツイート時、よく混ざるもの：・GRヤリス (化けウサギ)・ご注文はうさぎですか？？・アズールレーン (頻度低)・みくちゃ (頻度低)一貫性がなく迷走しまくるので要注意！？,愛媛県新居浜市
3,@kadokawa_san 一日の新宿駅利用者数(日本一)と自分の利用駅の利用者数を比べてみる企画各市町村自治体役所の皆様企画共有協力何卒宜しくお願い申し上げます。長文失礼しました🙇‍♂元 #日本相撲協会 #横綱審議委員会 #文化庁長官 #宮田亮平 先生の一番弟子 #鍛金造形作家江崎太郎 #ezakitaro #エザキタロウ https://t.co/6aMUK03D8T,2022-10-01_00:59:55,0,0,0,0,,1547486817363996672,naokv4fic5gnGMq,295,5761,ヴェネツィアビエンナーレ出展企画してます。何か協力していただけないでしょうか？Vtuber様4大ファッションコレクション出展、2025大阪万博で岡本太郎を超えたいです。また、栃木ビエンナーレ(下野トリエンナーレ)企画してます。赤ちゃんからご年配の方まで全員に共有拡散何卒宜しくお願い申し上げます🙇‍♂️※釣りではない。,栃木県宇都宮市
4,@thunder_ser681 そういえばサンダル男が付いて行ったという噂を見たが真相はどうだったんだろう🤔,2022-10-01_00:59:54,0,1,3,0,,809062363064246273,Hage10Boin,1269,51240,駅メモやってまーす♪ ⬆️の方々のお仕事回数10000回とレジェンド達成✌️(ˊᗜˋ*)و ♫ プラズマジカと共に全国津々浦々へ。全駅制覇出来るかな？ ⭐️旅の記録 #仙人の下界探訪 #千客万来桃源郷 たまにはホッとひと息 #ぴゅる湯♨️ ヘッダー&アイコンはかんざきちゃんに描いて頂きました〜ぴゅる♫,飛驒の山奥の桃源郷🍑
5,@marie_tada 優良ドライバーさん🥇,2022-10-01_00:59:54,0,0,1,0,,1312247388745023488,1gaAZHQButVBi2D,98,5136,#Reinaゼミ生,
6,ここ最近ずっとネガティブとポジティブが戦ってて、やっとポジティブが勝ちもうした！拍手！,2022-10-01_00:59:53,0,0,0,0,,449521349,seritakn,1490,17209,egg令和2代目編集長🥚💖| 元ティーンモデルの芸能マネージャー🧸,
7,@azumiruu 有識者が教えてくれたらいいなぁw,2022-10-01_00:59:52,0,0,2,0,,1060387314369683456,pIzV0hATvm8aKYG,2481,14597,模型アカウント。碧と黄色のボックスアートが大好物。積むんじゃなく、横に並べるのがイタレリ。作っても中身だけ補充する。タイヤと履帯替えるからキットより高いの買うのがいつも背徳感まみれで興奮しているのが楽しい❗,東京
8,I'm at 大谷川水門 in 静岡市駿河区 静岡県 https://t.co/ZWWZNSO3EV,2022-10-01_00:59:51,0,0,0,0,,3191036300,matcha0711,3872,418444,To be Happy and Exciting!,としきの城(東京)
9,@Shin_Saunaaa ご無事で何よりです！おデート楽しんでください❤️‍🔥,2022-10-01_00:59:50,0,1,1,0,,1573305402208686081,tosakuuuuun_jp,149,1029,なりのサウナ垢です〜！千葉中心にサウナ巡ってます。 湯〜ねる/SKC/サウナナイト組邦ロック/ダーツ/シーシャ/酒！ ！宜しくお願いします🤲,
10,今日も石川新一郎氏の米軍情報です。現在金融はスイフトシステムから量子金融システムQFSに変更しているので、DS達はお金が凍結していて届かず騒いでいるそうです。,2022-10-01_00:59:50,0,0,0,0,,1297000589537157121,ootakis1,81,1820,真実が知りたい,
11,私文章書くの好きかもしれない。作文とか随筆とか日記とか,2022-10-01_00:59:50,0,0,2,0,,1424267545775730689,Iris6non,398,2055,〇〇＋English! :) 夢は英語に存分に触れて楽しむこと⌇私の拠点の創生部@crr_tonkou,ゆったりのんびり
12,@Yackle_yyy 可愛い😊ワクワクも楽しみだね少しは休んでね🫶,2022-10-01_00:59:49,0,0,7,0,,1277843508527677440,saku728232,149,5088,ソギョン君💕SG⚡️🫶,
13,@43miumiu ありがとうございマス！こちら先日の福井での一枚。僕自身の解放感も写真に映っているかもしれませんネ。,2022-10-01_00:59:47,0,1,1,0,,4091218812,hugemBP,472,3343,"Producer Arranger Keybordist.Resident DJ of club GoldenWell""GI-ON / teddybear music""worksAKB48/Kis-My-Ft2/SUPER★DRAGON/mahina/吉本坂46/miu/いとうゆり/LIN...",日本 東京都
14,I'm at ウンチクンサンのテトラポッド in 静岡市 静岡県 https://t.co/QJOGaWJeio,2022-10-01_00:59:46,0,0,0,0,,3191036300,matcha0711,3872,418444,To be Happy and Exciting!,としきの城(東京)
15,@satsuki87171898 ふぅん！～そんなかたも健在？まぁ～いろいろな、いきかた、有るからね～覗いて見たいね～🌸,2022-10-01_00:59:45,0,0,0,0,,1506074504346632200,BJIST3lONn8ZqKI,220,1343,ニュースでは、　、　犯罪集団が名称変更どき、何故変更ができたか　安倍総理が、政権の座に着いたとき、官僚は保身のため忖度、忖度が働いたから犯罪集団　統一教会が名称変更後は、雨後の筍如く増加し、国会議員ばかりか、,
16,@0C4L51ajqYkm3vI screamadelicaさんありがとうございます‼️めっちゃ喜んでくれました。息子ちゃんの笑顔を見ていると癒され痛みや痺れの事も忘れられます。「ちぃかわちゃん」は目覚ましテレビで毎週金曜日の7時40分位にやってます。通勤中に見て癒されてます。,2022-10-01_00:59:45,0,0,1,0,,1028606778055974912,fRy5Wg0izmfSSZX,178,3970,週末photographをやっております。１児の父親です。ただいま脊椎病の側弯症·脊椎管狭窄症のダブルで闘病中です。写真や同じ病気·手術された方と繋がりたいです。宜しくお願いします。,日本 京都
17,@westmaison1 こっそり教えてくださいませ(＾ω＾),2022-10-01_00:59:44,0,0,1,0,,1434578899170594817,mutsukimomomo,1816,5280,月曜から夜ふかしさん公認日本最北端のニューハーフショークラブ咲樂屋ママのプライベートな発言。女装少な目。YouTubeとTikTok見ていただけるとうれし。北大文学部卒。十勝幕別町生まれ。玉無し竿あり。元すすきのららつー。コスプレイヤー。レトロゲーム好き。オタクな発言と出勤のつぶやきが多いです #LGBTQ,北海道 旭川市
18,@happyluckyod 優勝すぎ,2022-10-01_00:59:44,0,1,1,0,,1289555224693096450,SoNojiDayo,84,465,そうすけです 三途のラフテル見ました,
19,@yuZu_ri_min お誕生日おめでとうございます😄🎉🎁🎂バースデー入国予約をして集合写真を撮ってもらいましょう。😁 https://t.co/kGktWfXtpx,2022-10-01_00:59:43,0,1,2,0,,2277020737,tomo300v,228,6329,HKT48の荒巻美咲ちゃん推し、メイド喫茶ハートオブハーツ、めいどりーみん❤️に出没中⁉️🤣💕めいどりーみん❤️全店ツアーを画策しています‼️😀💕都内のめいどりーみん❤️店舗は制覇したよ❗🤣💕,東京都八王子市
20,@tkromstka 確かにあっというまでした！うちは引っ越しで余計感じるのかも！もう10月です☆今月もゆるよろでお願いします(^-^)よい夢を見てね🌼,2022-10-01_00:59:43,0,1,1,0,,409022341,hiromi_redslove,1169,14880,浦和レッズがめちゃめちゃ大好きですo(^-^)o 特に伊藤敦樹選手、柏木陽介選手を応援しています☆彡 X JAPAN、ミスチル、NAOTO、山下智久、小栗旬、佐藤健、好き。牙狼〈GARO〉大好き。統合失調症、障害者3級。大宮南中年会！大宮南中学校、大宮東高校卒業。埼玉県大宮市(現さいたま市)出身、蓮田市在住。,SAITAMAHASUDA city
21,@naomisugimoto13 ありがとうございます🙇‍♀️対面で60名近く企業の人事の方がいらっしゃったので、緊張しました🫢,2022-10-01_00:59:43,0,0,1,0,,1572109023448793091,MameTamatsukuri,179,31,21歳 ／ 全員起業家大学／ iU 1期生／ライブ配信事業検証中『ライバーの可能性を広げる』／ガイアックス,
22,たまにはちゃんと入荷情報を💦SHOCU.Xさんの今年最高のボトル『NK麦025』サードフィルのオーク樽で寝かした至高の焼酎‼️口当たりはまさにシングルモルトウイスキー🥃是非、Noëlの最高級グラス『デジール』でストレートで飲んで頂きたいです👍#SHOCHUX#glassbacca https://t.co/dpMBiuVDuE,2022-10-01_00:59:42,2,0,13,1,,497437112,_dai_murakami,479,22429,天神橋筋商店街に2017年6月30日(金)Openの『Kitchen Bar Noël(キッチンバル ノエル)』と申します‼️ ちょっと良い週替わりワインをちょっと良いグラスで飲める落ち着ける空間を演出しながら楽しく過ごせる新しい地域密着型バルを目指しております。,大阪 大阪市 北区 天神橋1-12-22
23,徹底的に仕込んでます。全てを犠牲にして練習に打ち込むコイツは強い。Never lose!!!!!!!!!『No painNo gain』 https://t.co/Ssd7hXFYgu,2022-10-01_00:59:41,0,0,6,0,,105662838,daisuke19770514,1351,47835,(・ε・)ムエタイと首相撲…タイとカープとラーメンとサクヤンをこよなく愛すそんな僕です✧キックボクサーです【第7代NJKF S.フェザー級チャンピオン･初代 大和S.フェザー級チャンピオン・WBCムエタイフェザー級4位】ラピュタを死ぬまでに見つけたい✰広島でNJKF加盟のTRASHキックボクシングジムをやってます☻,広島県広島市の街中あたり…
24,@SienneLinda @tanabota0620681 にゃるほど(=^x^=),2022-10-01_00:59:40,0,0,2,0,,380960151,Toru_GoGo358,1048,11483,ポケモンGOは青。金ジム増やすマン🔥←🍜ラーメン店開業したのでGOが鈍足に😅ロードスターRF(*ﾟ▽ﾟ)ﾉ & GLC43coupé乗り。 クルマ・ダイビング・ガンダム・STAR WARS・MARVEL作品・その他楽しい事。フォローありがとぉ♫ お気軽に( ´ ▽ ` )ﾉ❤ ＃Torugunsou,兵庫 姫路市
25,あいみょん垢抜けまでの歴史#shorts https://t.co/RCd42kpwB6 @YouTubeより最後笑った,2022-10-01_00:59:40,0,0,0,0,,1211383094,mentamakusaru,763,53682,イベント制作以外も色々してます。 落合カーニバル代表です。OMC代表です。 固定ツイートみたいなイベントしています。 フードもやります！面白いことをしていきたいので 仕事依頼などはDMください。 本職は就労支援のサビ管やってます。不良サビ管です。,大阪 大東市
26,急に3度上がった,2022-10-01_00:59:39,0,0,0,0,,1280615066,cat3AI,1282,74206,岡山 追試→組織1 生化学12 免疫 セロー/カブ/V70,旭川暗記場
27,@Beroup4649 みんなが打てなかっただけで俺も打ててない💦,2022-10-01_00:59:38,0,0,0,0,,2344426514,5917K,518,6953,ボウリングは19年３月から奥さんと一緒に始めました‼️ピンク好きの派手なただのオジサン🎶夫婦共々仲良くしてやって下さい😊          🎳🎳🎳HG300(20年２月14日)🎳(22年3月27)HS1054(20年11月24日)🎳🎳800シリーズ(20年11月24日)(22年3月27日),静岡 静岡市 
28,uzuは、のまーさん作のwooonderfulをプレイヽ(；▽；)ノわんわんマダミスっ！！たくさん褒めて褒めてきましたヽ(；▽；)ノ楽しかった！同卓ありがとうございました！ https://t.co/lgdJXJGdqm,2022-10-01_00:59:35,0,0,26,0,,1329323236555833346,nekohomess,531,1633,マダミスアプリのuzuで「加賀っ奏」、「さざんがはち」、「拝啓ホームズ様」、「金沢夜桜奇譚」の４作品を公開中。 RPがめっちゃ楽しくて推理もしっかりできてドキドキも出来る最高の体験をこの４作で堪能してもらえたらと思います！ 加賀っ奏はbooth公開中 https://t.co/G4pyMoPPXe,北陸
29,@mitsuko77777 大変だね！頑張って!!,2022-10-01_00:59:34,0,0,0,0,,1217054800170237956,xcGgasUq2A4iSAl,57,550,バイクと車と自転車と戦闘機などが大好きで、音楽は、JAZZと鈴木雅之とJUJUと声優でTrySailの雨宮天と水樹奈々とクリスハートと東京スカパラダイスオーケストラなどが大好きです！ 俳優は、柴田恭兵と真田広之と寺尾聰と仲村トオルと中条静夫とか!,東京 板橋区
30,福北自然ゆたか線←すき,2022-10-01_00:59:33,0,0,4,0,,1148540616466288640,Shitozawa_0217,290,2153,福岡大学 JJ21 6組⚖￤石川ゼミ(刑法)￤實原ゼミ(憲法),ツイートはフィクションと私見です。
31,@sauna_osaka やばいですね、、,2022-10-01_00:59:33,0,0,0,0,,1564260667787341825,cha__na_co,779,1345,🫧銭湯文化に貢献したい関西人🫧たまにスペースします🫧サウナライファー🫧2022.09.01 サウナ・スパ健康アドバイザー取得🫧なにけんさんが心のホーム🫧,
32,そぉぉなのぉぉぉ！！？？ https://t.co/dkBo363KYh,2022-10-01_00:59:32,0,0,0,0,,868996741210578944,Chakira0118,376,2058,なんだかんだ鹿児島が好きで東京からUターン移住した人 | 何気ない日々の鹿児島をわっぜ世界に発信したい| 環境系ベンチャー企業の広報・ブランディングを担当する毎日|元ソサイチ日本選抜イタリア遠征メンバー| #鹿児島ユナイテッドFC | #ecommit #広報,鹿児島
33,@MukaibiAoi 10月「来ちゃった」,2022-10-01_00:59:32,0,1,0,0,,909184064,Nekomimi,2707,88186,お絵描き・お出かけ・甘いもの・美味しいもの。時々あずにゃん🎸。千歌っち🍊とかすみん👑とちーちゃん🐙も。盆暮れの海辺のお祭りにいます。Twitterは2007年4月から。,Moon IslandTokyo Japan
34,ノートパソコン 3人貰う\_へ(´ω` )\_へ(´ω` )\_へ(´ω` )#東京パソコンクラブ,2022-10-01_00:59:31,0,0,1,0,,108975092,supra90_46,10271,452684,坂道Ｆ１阪神大好き乃木ヲタ10年 西野七瀬 生田絵梨花 白石麻衣 山下美月 梅澤美波 久保史緒里 佐藤楓 賀喜遥香 遠藤さくら 掛橋沙耶香 黒見 橋本奈々未 深川麻衣 中元日芽香 欅坂推し菅井友香 田村保乃大園玲 守屋麗奈日向推し小坂菜緒 齊藤京子 阪神藤浪 F1モトGP AセナSベッテルMシューマッハBロッシ,岡山県 倉敷市
35,本日のdai-docoro　おすすめメニュー🍴⭐️いもくりなんきんサラダ⭐️味噌マヨネーズかぼちゃ　サラダサンドパン⭐️かぼちゃとさつまいもの　ポタージュ⭐️かぼちゃプリン今日はお得🉐な野菜セットを使って色々なメニューを提案してみました〜♪ #イオンフードスタイル川西店#daidocoro川西店 https://t.co/zCr8o93wq6,2022-10-01_00:59:31,1,0,6,0,,1184787341749018629,daiei_kawanishi,176,7299,【営業時間】9:00～22:00ダイエーアプリでお得クーポン配信中❗→https://t.co/eGXMUsEnffイオンフードスタイル川西店を設定して下さい。当アカウントでは返信対応が出来かねます。恐れ入りますが、お問合せは店舗カウンター又は当店ホームページ迄お願い致します。,兵庫県川西市多田桜木1-4-1
36,@gurichannel ぉゃするよ😪,2022-10-01_00:59:31,0,1,1,0,,1032485028746252288,No144401693,131,7841,自己紹介しろって言われたので、11/6（日）に。ちょっとします。尾崎 豊の🎶卒業🎶15の夜全く同じ事してましまた。彼の2つしたのイケオジꉂ🤣 ʬʬです。,ギリギリ東京
37,@garuruuuD ぜひ応募させて頂きます🙇‍♂️よろしくお願い致します🙇‍♂️,2022-10-01_00:59:30,0,0,0,0,,137003037,whitetomo,1220,355496,相互フォロー大感激。,横浜
38,@nemui_yunasan ちゃうちゃう笑記念にゆーなちゃんの手形ドンって！,2022-10-01_00:59:28,0,1,0,0,,1204977915533807617,_otakunootaku_,668,17353,@OKAYUYUYU17と@miaoruma_と@plasta_kannyanと@emo_yukarin のオタク,みあの蹄
39,@KAZU656609183 ほーい♥️,2022-10-01_00:59:26,0,1,1,0,,1428479668944969728,xZZkurse6MJpzPF,2247,37006,北陸の会社ですが、うちはモロ関西人🤣めんどくさい人大嫌い‼️　白黒はっきりしてる性格👍️　人生一度きり楽しくやりまひょ😁別にアホでもエエやん‼️🤣負けへんで💪宜しくお願いします😉,
40,@Chiyuri_Isuzu ネーミングセンスぴかいち丸やなぁ🤔,2022-10-01_00:59:25,0,1,0,0,,10493142,katorima,180,6766,八王子生まれの名古屋在住。旅行に行ったりバイクに乗ったりするのが楽しいね。またtahiに行きタヒ。ただのモタードファン。,愛知 名古屋市 中区
41,円楽師匠、福岡での円楽伊集院二人会楽しみにしてたんですよ、なんで死んじゃうんですか・・・伊集院さん辛いだろうなぁ。ご冥福をお祈りします。,2022-10-01_00:59:25,0,0,1,0,,884504714,SatoshiMaruyam3,41,5090,Ｆ１と写真が好きです。あとモンストやってます、阿頼耶運極、轟絶23種運極ヴィーラは知らん。,
42,ああ来てしまった https://t.co/Xgkt0XwP33,2022-10-01_00:59:24,1,2,20,0,,1944145758,Tatsuya_niki,1196,177010,趣味野球（贔屓中日、オリ※にわか）登山旅行ドライブ道路全般酷道巡りカローラツーリングで変な場所に行くのが好き八百津ダート八草峠水無八幡宮大好きゲームはデレマス(綾瀬穂乃香担当)、原神、ブルアカ、ヘブバン気軽に話しかけて、どうぞ,名古屋
43,戯言なんだけど、某国が何らかの決心をして核使用したとして、一番核爆発が起きる可能性が高いのは国内なのではないかと愚考。,2022-10-01_00:59:24,0,0,4,0,,1008337842899058693,dXneuFZMIRro0qI,400,16916,元ツクール&ウルフエディターエターナリスト・なろう民。創作物好き。ファミコンスーファミ大好き世代！現在子育てにつき創作活動は８割減です。消費すら滞ってます。,沖縄 那覇市
